income_annum,loan_amount,loan_term,cibil_score,loan_status,LTI_Category,LTV_Category,DTI_Category
9600000,29900000,12,778,1,1.0,0.0,1.0
4100000,12200000,8,417,0,0.0,1.0,2.0
9100000,29700000,20,506,0,1.0,0.0,0.0
8200000,30700000,8,467,0,1.0,0.0,2.0
9800000,24200000,20,382,0,0.0,0.0,0.0
4800000,13500000,10,319,0,0.0,0.0,1.0
8700000,33000000,4,678,1,1.0,0.0,3.0
5700000,15000000,20,382,0,0.0,0.0,0.0
800000,2200000,20,782,1,0.0,0.0,0.0
1100000,4300000,10,388,0,1.0,0.0,2.0
2900000,11200000,2,547,1,1.0,0.0,3.0
6700000,22700000,18,538,0,1.0,0.0,0.0
5000000,11600000,16,311,0,0.0,0.0,0.0
9100000,31500000,14,679,1,1.0,0.0,1.0
1900000,7400000,6,469,0,1.0,1.0,3.0
4700000,10700000,10,794,1,0.0,0.0,1.0
500000,1600000,4,663,1,1.0,0.0,3.0
2900000,9400000,14,780,1,1.0,0.0,1.0
2700000,10300000,10,736,1,1.0,3.0,2.0
6300000,14600000,12,652,1,0.0,0.0,0.0
5000000,19400000,12,315,0,1.0,0.0,1.0
5800000,14000000,16,530,0,0.0,0.0,0.0
6500000,25700000,18,311,0,1.0,1.0,1.0
500000,1400000,2,551,1,0.0,0.0,3.0
4900000,9800000,16,324,0,0.0,0.0,0.0
3100000,9500000,20,514,0,1.0,0.0,0.0
8200000,28100000,12,696,1,1.0,0.0,1.0
2400000,5600000,4,662,1,0.0,0.0,3.0
7000000,24000000,6,336,0,1.0,0.0,3.0
9000000,31500000,10,850,1,1.0,0.0,1.0
9800000,25300000,12,313,0,0.0,0.0,1.0
5700000,12000000,6,363,0,0.0,0.0,2.0
800000,1600000,10,436,0,0.0,0.0,0.0
8400000,22000000,2,830,1,0.0,1.0,3.0
4900000,11900000,8,612,1,0.0,0.0,1.0
1700000,3400000,8,691,1,0.0,0.0,1.0
1600000,6200000,18,636,1,1.0,0.0,1.0
8000000,27200000,6,348,0,1.0,2.0,3.0
3600000,7700000,16,830,1,0.0,0.0,0.0
1500000,5100000,6,352,0,1.0,1.0,3.0
7800000,18100000,2,712,1,0.0,0.0,3.0
9100000,24900000,16,822,1,0.0,0.0,0.0
1400000,3400000,6,540,0,0.0,0.0,2.0
800000,2300000,12,342,0,0.0,0.0,1.0
6500000,13400000,18,787,1,0.0,0.0,0.0
8000000,27800000,16,331,0,1.0,0.0,1.0
4200000,14600000,6,679,1,1.0,1.0,3.0
4900000,19100000,14,677,1,1.0,0.0,1.0
5500000,20500000,12,634,1,1.0,0.0,1.0
9500000,19100000,16,662,1,0.0,0.0,0.0
7300000,25400000,16,502,0,1.0,1.0,1.0
8700000,24700000,10,435,0,0.0,0.0,1.0
3800000,7600000,4,689,1,0.0,0.0,2.0
8400000,23000000,12,657,1,0.0,0.0,1.0
5100000,19700000,20,590,1,1.0,0.0,0.0
6700000,24500000,12,818,1,1.0,2.0,1.0
4300000,10600000,18,431,0,0.0,0.0,0.0
9300000,30500000,18,841,1,1.0,0.0,0.0
7400000,18400000,20,421,0,0.0,0.0,0.0
5500000,18200000,16,797,1,1.0,1.0,1.0
8500000,18900000,18,478,0,0.0,0.0,0.0
9600000,30500000,18,669,1,1.0,1.0,0.0
8800000,28900000,6,365,0,1.0,0.0,3.0
3300000,7500000,20,586,1,0.0,0.0,0.0
3900000,12300000,18,784,1,1.0,0.0,0.0
4100000,10300000,12,364,0,0.0,0.0,1.0
8300000,29100000,10,715,1,1.0,0.0,2.0
2700000,10100000,20,693,0,1.0,3.0,0.0
5600000,12400000,4,777,1,0.0,0.0,3.0
1900000,5000000,12,312,0,0.0,0.0,1.0
500000,1500000,20,340,0,0.0,0.0,0.0
5300000,18600000,4,386,1,1.0,1.0,3.0
7000000,18300000,4,418,0,0.0,0.0,3.0
5800000,16700000,16,735,1,0.0,0.0,0.0
2600000,8400000,6,494,0,1.0,0.0,3.0
1900000,6500000,18,671,1,1.0,1.0,0.0
5700000,14800000,16,697,1,0.0,0.0,0.0
9000000,33500000,8,801,1,1.0,0.0,2.0
8500000,29400000,12,576,1,1.0,0.0,1.0
700000,1400000,14,639,1,0.0,0.0,0.0
3500000,8900000,4,470,0,0.0,0.0,3.0
8800000,31200000,4,826,1,1.0,1.0,3.0
9900000,21200000,16,363,0,0.0,0.0,0.0
3600000,8600000,20,613,1,0.0,0.0,0.0
3000000,8200000,16,713,1,0.0,0.0,0.0
6800000,21200000,16,439,0,1.0,0.0,0.0
1100000,3800000,18,387,0,1.0,0.0,0.0
8700000,28300000,8,402,0,1.0,0.0,2.0
2000000,8000000,6,837,1,1.0,0.0,3.0
9800000,37600000,10,641,1,1.0,1.0,2.0
5700000,21100000,18,489,0,1.0,2.0,1.0
8800000,20700000,18,540,0,0.0,0.0,0.0
3800000,8900000,4,844,1,0.0,0.0,3.0
1700000,6400000,10,452,0,1.0,1.0,2.0
1000000,2000000,10,366,0,0.0,0.0,1.0
300000,1100000,2,300,1,1.0,1.0,3.0
6600000,15000000,18,470,0,0.0,0.0,0.0
8700000,25000000,20,861,1,0.0,0.0,0.0
9400000,29400000,12,562,1,1.0,0.0,1.0
4400000,10800000,14,463,0,0.0,0.0,0.0
400000,900000,12,478,0,0.0,0.0,0.0
300000,1100000,2,702,1,1.0,2.0,3.0
4300000,12900000,20,618,1,0.0,0.0,0.0
1600000,4500000,12,633,1,0.0,0.0,1.0
6200000,23600000,10,331,0,1.0,0.0,2.0
4200000,9700000,16,841,1,0.0,0.0,0.0
9000000,18100000,12,764,1,0.0,0.0,0.0
2700000,10600000,6,591,1,1.0,1.0,3.0
9700000,35900000,2,719,1,1.0,1.0,3.0
3300000,6800000,14,317,0,0.0,0.0,0.0
300000,1100000,8,778,1,1.0,0.0,2.0
7400000,18200000,14,302,0,0.0,0.0,0.0
7100000,19700000,8,502,0,0.0,0.0,1.0
7300000,22100000,18,879,1,1.0,0.0,0.0
8400000,23400000,14,437,0,0.0,0.0,0.0
3300000,10800000,12,797,1,1.0,1.0,1.0
5800000,23200000,18,456,0,1.0,0.0,1.0
600000,1600000,6,647,1,0.0,0.0,2.0
7200000,15800000,12,379,0,0.0,0.0,0.0
9100000,32900000,2,717,1,1.0,3.0,3.0
900000,2300000,16,545,0,0.0,1.0,0.0
800000,3200000,8,317,0,1.0,1.0,2.0
8500000,32900000,10,570,1,1.0,2.0,2.0
9000000,18700000,18,865,1,0.0,0.0,0.0
7000000,19500000,14,719,1,0.0,0.0,0.0
200000,600000,16,821,1,0.0,0.0,0.0
400000,800000,10,859,1,0.0,0.0,0.0
5100000,18200000,10,395,0,1.0,1.0,2.0
700000,2600000,12,429,0,1.0,0.0,1.0
400000,1200000,12,861,1,0.0,0.0,1.0
9500000,20800000,14,565,1,0.0,0.0,0.0
8800000,22600000,10,357,0,0.0,0.0,1.0
1800000,3600000,18,465,0,0.0,0.0,0.0
6800000,13900000,8,479,0,0.0,0.0,1.0
1500000,5500000,16,717,1,1.0,1.0,1.0
1600000,5500000,12,425,0,1.0,1.0,1.0
4600000,16700000,2,786,1,1.0,1.0,3.0
2200000,6700000,6,382,0,1.0,0.0,3.0
2900000,8500000,12,564,1,0.0,1.0,1.0
200000,700000,8,501,0,1.0,0.0,2.0
2500000,9400000,10,727,1,1.0,0.0,2.0
3600000,7500000,6,894,1,0.0,0.0,1.0
5500000,16700000,18,829,1,1.0,1.0,0.0
6600000,17400000,20,506,0,0.0,0.0,0.0
8600000,32100000,6,802,1,1.0,0.0,3.0
600000,1500000,14,543,0,0.0,0.0,0.0
1400000,3200000,20,772,1,0.0,0.0,0.0
4000000,11100000,12,572,1,0.0,0.0,1.0
4900000,11900000,16,709,1,0.0,0.0,0.0
2000000,6200000,18,402,0,1.0,0.0,0.0
5200000,19300000,8,481,0,1.0,0.0,2.0
8900000,28800000,6,772,1,1.0,1.0,3.0
6500000,20600000,2,306,1,1.0,0.0,3.0
1300000,4500000,6,415,0,1.0,2.0,3.0
9400000,35000000,16,548,0,1.0,0.0,1.0
5000000,11200000,8,701,1,0.0,0.0,1.0
3000000,7700000,12,890,1,0.0,0.0,1.0
9900000,33300000,6,364,0,1.0,0.0,3.0
700000,1300000,20,704,1,0.0,0.0,0.0
4000000,10600000,10,318,0,0.0,0.0,1.0
3100000,9600000,2,761,1,1.0,0.0,3.0
4500000,15100000,6,693,1,1.0,0.0,3.0
9700000,20600000,16,524,0,0.0,0.0,0.0
2000000,5300000,10,681,1,0.0,0.0,1.0
8100000,22300000,18,737,1,0.0,0.0,0.0
5700000,15900000,16,638,1,0.0,0.0,0.0
5800000,12800000,2,656,1,0.0,0.0,3.0
1800000,6500000,6,540,0,1.0,0.0,3.0
9100000,35200000,6,341,0,1.0,3.0,3.0
4800000,17500000,2,371,1,1.0,0.0,3.0
3800000,10500000,12,886,1,0.0,0.0,1.0
1900000,4100000,18,801,1,0.0,0.0,0.0
